啦啦队,lālāduì,cheerleading,读书,2013-12-14,,7+,初三,初三 HSK7+ 读书  
计算机,jìsuànjī,computer,读书,2013-12-14,,7+,初三,初三 HSK7+ 读书  
难事,nánshì,difficult matter,读书,2013-12-14,,7+,初三,初三 HSK7+ 读书  
写计算机有关,xiě jìsuànjī yǒuguān,writing about computers,读书,2013-12-14,,7+,初三,初三 HSK7+ 读书  
收银员,shōuyínyuán,cashier,读书,2013-12-14,,7+,初三,初三 HSK7+ 读书  
空乘,kōngchéng,flight attendant,读书,2013-12-14,,7+,初三,初三 HSK7+ 读书  dde-fileManager
副词,fùcí,adverb,读书,2021-10-11,Language,7+,初三,初三 HSK7+ 读书 Language dde-fileManager
年轻,niánqīng,Young - 年幼 .. 年少 .. 年轻 .. 中年 .. 年长 .. 年老,口语,2023-09-14,Appearance,3,初三,初三 HSK3 口语 Appearance 
中年人,zhōngniánrén,middle-aged man,口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
老年人,lǎoniánrén,elderly,口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
高富帅,gāofùshuài,"tall, rich and handsome",口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
一起,yīqǐ,"Measure word for accidents and groups, etc.
一起事故",读书,2023-10-12,Measure words,2,初三,初三 HSK2 读书 Measure words 
短发,duǎnfā,short hair,口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
漂亮,piàoliang,pretty,口语,2023-09-14,Appearance,1,初三,初三 HSK1 口语 Appearance 
身材,shēncái,"Figure -- only for humans, not for animals",口语,2023-09-14,Appearance,5,初三,初三 HSK5 口语 Appearance 
胖,pàng,fat,口语,2023-09-14,Appearance,3,初三,初三 HSK3 口语 Appearance 
瘦,shòu,thin,口语,2023-09-14,Appearance,3,初三,初三 HSK3 口语 Appearance 
高,gāo,high,口语,2023-09-14,Appearance,2,初三,初三 HSK2 口语 Appearance 
矮,ǎi,"Short, can call a person 矮子",口语,2023-09-14,Appearance,3,初三,初三 HSK3 口语 Appearance 
苗条,miáotiao,slim,口语,2023-09-14,Appearance,5,初三,初三 HSK5 口语 Appearance 
卷发,juǎnfà,curls,口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
关头,guāntóu,Bold(ness),口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
棕色长直发,zōngsè chángzhífā,long straight brown hair,口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
长发,chángfà,long hair,口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
直发,zhífà,straight hair,口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
文静,wénjìng,quiet,口语,2023-09-14,Personality,7+,初三,初三 HSK7+ 口语 Personality 
开朗,kāilǎng,cheerful,口语,2023-09-14,Personality,6,初三,初三 HSK6 口语 Personality 
热情,rèqíng,enthusiasm,口语,2023-09-14,Personality,3,初三,初三 HSK3 口语 Personality 
活泼,huópo,lively,口语,2023-09-14,Personality,4,初三,初三 HSK4 口语 Personality 
细,xì,"Thin, people or objects",口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
笑口常开,xiàokǒuchángkāi,Always smiling,口语,2023-09-14,Personality,7+,初三,初三 HSK7+ 口语 Personality 
长相,zhǎngxiàng,Appearance,口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
腼腆,miǎntiǎn,shy,口语,2023-09-14,Personality,7+,初三,初三 HSK7+ 口语 Personality 
神秘,shénmì,mystery,口语,2023-09-14,Personality,5,初三,初三 HSK5 口语 Personality 
阳光,yángguāng,"""Sunny"" full of life",口语,2023-09-14,Personality,4,初三,初三 HSK4 口语 Personality 
年龄,niánlíng,age,口语,2023-09-14,Appearance,4,初三,初三 HSK4 口语 Appearance 
胡子,húzi,bread or moustache,口语,2023-09-14,Appearance,7+,初三,初三 HSK7+ 口语 Appearance 
过,guò,Verb + 过 = Experience (positive or negative),读书,2023-09-14,Time markers,4,初三,初三 HSK4 读书 Time markers 
了,le,Verb + 了 = Finished action (positive only),读书,2023-09-14,Time markers,1,初三,初三 HSK1 读书 Time markers 
内向,nèixiàng,introversion,口语,2023-09-14,Personality,7+,初三,初三 HSK7+ 口语 Personality 
性格,xìnggé,Personality,口语,2023-09-14,Personality,4,初三,初三 HSK4 口语 Personality 
已经,yǐjīng,already,读书,2023-09-14,Time markers,2,初三,初三 HSK2 读书 Time markers 
曾经,céngjīng,Or used to,读书,2023-09-14,Time markers,5,初三,初三 HSK5 读书 Time markers 
