token,count
的,22019609
了,8205017
我,6938503
是,5400644
你,4998312
在,4360623
和,3007589
他,2519127
不,2409821
也,2354357
有,2236733
就,2078255
都,1909683
说,1775022
这,1621893
人,1540351
啊,1536045
好,1515626
要,1449557
对,1426508
她,1207889
还,1182140
上,1177156
去,1171787
我们,1148949
中,1148448
一个,1110406
着,1093349
为,1085352
到,1001850
来,969500
那,943190
与,916681
没有,904493
又,889840
等,857643
吧,854068
吗,851411
把,846185
地,836566
会,794054
自己,779511
很,778394
什么,776955
可以,767513
一,736269
想,721317
多,685758
给,680339
没,678131
他们,675971
看,674309
而,658177
呢,651619
个,648255
得,639127
就是,635046
大,616985
从,614493
吃,608093
这个,595160
不是,594700
能,593645
发展,592123
年,564072
过,559914
知道,549541
被,534225
但,519896
以,508444
现在,504025
将,498229
中国,491991
工作,489832
后,487606
里,478787
用,476051
啦,452980
并,451626
问题,449981
下,443158
还是,439224
这样,434015
让,432892
哈哈,426966
月,423618
做,410664
哈哈哈,409158
已经,395075
它,390572
怎么,390000
新,387907
进行,382437
呀,381555
可,379938
使,377432
之,372530
时候,371315
喜欢,368144
才,367976
再,364852
小,360313
嗯,358617
太,352123
更,351055
不能,334398
走,333551
你们,332718
这么,332468
觉得,331307
因为,321172
或,315882
已,310307
最,303872
向,298529
其,297111
这种,296589
哦,294627
起来,292691
跟,292072
企业,290861
今天,290577
国家,290488
真的,290030
时,287247
么,286190
经济,283944
但是,277348
及,277022
人民,275389
可能,272631
只,269377
那么,268672
比,267996
这些,267679
爱,266352
谁,265145
建设,264926
道,263743
像,262195
还有,262125
一样,260701
所,257274
不会,255386
看到,254597
找,252517
由,251580
一起,250017
不要,248667
时间,246966
社会,245101
却,243869
点,243063
一定,242778
叫,242339
于,239156
买,238994
研究,238291
重要,235118
生活,231867
如果,231818
日,231705
需要,230323
开始,229924
们,229270
生产,228814
高,228123
所以,225379
必须,224867
那个,223600
一种,223413
出,222294
快,222190
嘛,222044
事,221995
出来,221282
通过,221042
应该,220602
当,218973
教育,217146
带,215528
主要,214889
例,214844
一些,214348
回来,209101
要求,206806
真,206129
感觉,205481
我国,204239
情况,203679
前,203646
一直,203514
世界,199845
地方,199703
